"Country","Corporate Tax Rate","Top Marginal Income Tax Rate","VAT Rate","Continent","IncomeTax_Updated"
"Afghanistan",20,20,0,"Asia",20
"Albania",15,23,20,"Europe",23
"Algeria",NA,35,19,"Africa",35
"American Samoa",34,6,0,"Oceania",6
"Andorra",10,10,4,"Europe",10
"Angola",30,17,14,"Africa",17
"Anguilla",0,0,0,"Americas",0
"Antigua and Barbuda",25,0,15,"Americas",0
"Argentina",35,35,21,"Americas",35
"Armenia",18,22,20,"Asia",22
"Aruba",25,59,2,"Americas",59
"Australia",30,45,10,"Oceania",45
"Austria",23,55,20,"Europe",55
"Azerbaijan",20,25,18,"Asia",25
"Azores",14,36,4,"Europe",36
"Bahamas",0,9,12,"Americas",9
"Bahrain",0,0,10,"Asia",0
"Bangladesh",32,25,15,"Asia",25
"Barbados",6,38,18,"Americas",38
"Belarus",20,43,20,"Europe",43
"Belgium",25,60,21,"Europe",60
"Belize",25,25,12,"Americas",25
"Benin",35,35,18,"Africa",35
"Bermuda",0,0,0,"Americas",0
"Bhutan",26,25,NA,"Asia",25
"Bolivia",29,25,13,"Americas",25
"Bosnia and Herzegovina",10,10,17,"Europe",10
"Botswana",22,25,14,"Africa",25
"Brazil",40,28,NA,"Americas",28
"Brunei",1,0,NA,"Asia",0
"Bulgaria",10,10,20,"Europe",10
"Burkina Faso",28,25,18,"Africa",25
"Burundi",35,35,18,"Africa",35
"Cambodia",20,20,10,"Asia",20
"Cameroon",32,35,19,"Africa",35
"Canada",NA,58,5,"Americas",58
"Cape Verde",25,28,15,"Africa",28
"Cayman Islands",0,0,0,"Americas",0
"Central African Republic",30,50,19,"Africa",50
"Chad",20,NA,NA,"Africa",20
"Chile",NA,40,19,"Americas",40
"China",25,45,13,"Asia",45
"Colombia",35,35,19,"Americas",35
"Comoros",35,NA,NA,"Africa",35
"Cook Islands",NA,30,15,"Oceania",30
"DR Congo",35,40,NA,"Africa",40
"Congo",30,NA,19,"Africa",30
"Costa Rica",30,25,13,"Americas",25
"Croatia",18,40,25,"Europe",40
"Cuba",30,50,NA,"Americas",50
"Curaçao",22,46,6,"Americas",46
"Cyprus",12,35,19,"Asia",35
"Czech Republic",21,46,21,"Europe",46
"Denmark",NA,52,25,"Europe",52
"Djibouti",25,NA,NA,"Africa",25
"Dominica",25,35,15,"Americas",35
"Dominican Republic",27,25,18,"Americas",25
"Timor-Leste",10,NA,NA,"Asia",10
