"Date","Percentage","Type"
2025-09-30,7.5,"Unemployment"
2025-06-30,7.4,"Unemployment"
2025-03-31,7.3,"Unemployment"
2024-12-31,7.1,"Unemployment"
2024-09-30,7.2,"Unemployment"
2024-06-30,7.1,"Unemployment"
2024-03-31,7.3,"Unemployment"
2023-12-31,7.3,"Unemployment"
2023-09-30,7.2,"Unemployment"
2023-06-30,7,"Unemployment"
2023-03-31,6.9,"Unemployment"
2022-12-31,6.9,"Unemployment"
2022-09-30,7,"Unemployment"
2022-06-30,7.2,"Unemployment"
2022-03-31,7.1,"Unemployment"
2021-12-31,7.2,"Unemployment"
2021-09-30,7.7,"Unemployment"
2021-06-30,7.8,"Unemployment"
2021-03-31,8,"Unemployment"
2020-12-31,7.9,"Unemployment"
2020-09-30,8.7,"Unemployment"
2020-06-30,7.1,"Unemployment"
2020-03-31,7.7,"Unemployment"
2019-12-31,7.9,"Unemployment"
2019-09-30,8.1,"Unemployment"
2019-06-30,8.2,"Unemployment"
2019-03-31,8.5,"Unemployment"
2018-12-31,8.4,"Unemployment"
2018-09-30,8.6,"Unemployment"
2018-06-30,8.8,"Unemployment"
2018-03-31,9,"Unemployment"
2017-12-31,8.7,"Unemployment"
2017-09-30,9.2,"Unemployment"
2017-06-30,9.2,"Unemployment"
2017-03-31,9.3,"Unemployment"
2016-12-31,9.7,"Unemployment"
2016-09-30,9.6,"Unemployment"
2016-06-30,9.7,"Unemployment"
2016-03-31,9.9,"Unemployment"
2015-12-31,9.9,"Unemployment"
2015-09-30,10,"Unemployment"
2015-06-30,10.2,"Unemployment"
2015-03-31,10,"Unemployment"
2014-12-31,10.1,"Unemployment"
2014-09-30,9.9,"Unemployment"
2014-06-30,9.8,"Unemployment"
2014-03-31,9.8,"Unemployment"
2013-12-31,9.8,"Unemployment"
2013-09-30,9.9,"Unemployment"
2013-06-30,10.1,"Unemployment"
2013-03-31,10,"Unemployment"
2012-12-31,9.8,"Unemployment"
2012-09-30,9.4,"Unemployment"
2012-06-30,9.3,"Unemployment"
2012-03-31,9.1,"Unemployment"
2011-12-31,9,"Unemployment"
2011-09-30,8.8,"Unemployment"
2011-06-30,8.7,"Unemployment"
2011-03-31,8.8,"Unemployment"
2010-12-31,8.9,"Unemployment"
2010-09-30,8.9,"Unemployment"
2010-06-30,8.9,"Unemployment"
2010-03-31,9,"Unemployment"
2009-12-31,9.2,"Unemployment"
2009-09-30,8.8,"Unemployment"
2009-06-30,8.8,"Unemployment"
2009-03-31,8.2,"Unemployment"
2008-12-31,7.5,"Unemployment"
2008-09-30,7.1,"Unemployment"
2008-06-30,7,"Unemployment"
2008-03-31,6.8,"Unemployment"
2007-12-31,7.2,"Unemployment"
2007-09-30,7.6,"Unemployment"
2007-06-30,7.8,"Unemployment"
2007-03-31,8.1,"Unemployment"
2006-12-31,8.1,"Unemployment"
2006-09-30,8.5,"Unemployment"
2006-06-30,8.6,"Unemployment"
2006-03-31,8.8,"Unemployment"
2005-12-31,8.7,"Unemployment"
2005-09-30,8.6,"Unemployment"
2005-06-30,8.4,"Unemployment"
2005-03-31,8.3,"Unemployment"
2004-12-31,8.6,"Unemployment"
2004-09-30,8.5,"Unemployment"
2004-06-30,8.4,"Unemployment"
2004-03-31,8.6,"Unemployment"
2003-12-31,8.4,"Unemployment"
2003-09-30,8,"Unemployment"
2003-06-30,8.1,"Unemployment"
2003-03-31,8,"Unemployment"
2002-12-31,7.6,"Unemployment"
2002-09-30,7.5,"Unemployment"
2002-06-30,7.5,"Unemployment"
2002-03-31,7.5,"Unemployment"
2001-12-31,7.4,"Unemployment"
2001-09-30,7.3,"Unemployment"
2001-06-30,7.3,"Unemployment"
2001-03-31,7.4,"Unemployment"
2000-12-31,7.7,"Unemployment"
2000-09-30,8,"Unemployment"
2000-06-30,8.3,"Unemployment"
2000-03-31,8.7,"Unemployment"
1999-12-31,9.1,"Unemployment"
1999-09-30,9.5,"Unemployment"
1999-06-30,9.8,"Unemployment"
1999-03-31,9.8,"Unemployment"
1998-12-31,9.8,"Unemployment"
1998-09-30,9.7,"Unemployment"
1998-06-30,9.8,"Unemployment"
1998-03-31,9.9,"Unemployment"
1997-12-31,10.1,"Unemployment"
1997-09-30,10.3,"Unemployment"
1997-06-30,10.3,"Unemployment"
1997-03-31,10.3,"Unemployment"
1996-12-31,10.2,"Unemployment"
1996-09-30,10.2,"Unemployment"
1996-06-30,10.1,"Unemployment"
1996-03-31,9.9,"Unemployment"
1995-12-31,9.6,"Unemployment"
1995-09-30,9.5,"Unemployment"
1995-06-30,9.6,"Unemployment"
1995-03-31,9.8,"Unemployment"
1994-12-31,10.1,"Unemployment"
1994-09-30,10.3,"Unemployment"
1994-06-30,10.4,"Unemployment"
1994-03-31,10.3,"Unemployment"
1993-12-31,10.1,"Unemployment"
1993-09-30,9.8,"Unemployment"
1993-06-30,9.5,"Unemployment"
1993-03-31,9.2,"Unemployment"
1992-12-31,9,"Unemployment"
1992-09-30,8.8,"Unemployment"
1992-06-30,8.6,"Unemployment"
1992-03-31,8.4,"Unemployment"
1991-12-31,8.2,"Unemployment"
1991-09-30,8,"Unemployment"
1991-06-30,7.7,"Unemployment"
1991-03-31,7.6,"Unemployment"
1990-12-31,7.6,"Unemployment"
1990-09-30,7.6,"Unemployment"
1990-06-30,7.7,"Unemployment"
1990-03-31,7.7,"Unemployment"
